cuisine,name,value,nvalue
Mexican,3 Margaritas,6,0.798122066
Mexican,32nd Cafe,6,0.798122066
Mexican,Acapulco Mexican Grill,6,0.798122066
Mexican,Ajo Al's Mexican Cafe,68,10.69483568
Mexican,Amando's Bros,6,0.798122066
Mexican,America's Taco Shop,476,75.50234742
Mexican,Angelinas Mexican Food,3,0.319248826
Mexican,Armando's Mexican Food,52,7.661971831
Mexican,Arriba Mexican Grill,217,34.31924883
Mexican,Asadero Norte De Sonora,19,2.873239437
Mexican,Asadero Toro,29,4.469483568
Mexican,Asi Es La Vida,101,15.96244131
Mexican,Aunt Chilada's,206,32.72300469
Mexican,Aya & Peilas,2,0.159624413
Mexican,AZTECA Bakeries & Restaurant,28,4.309859155
Mexican,Baja Fresh Mexican Grill Mexican Grill,3,0.319248826
Mexican,Baja Fresh Mexican Grill,50,7.502347418
Mexican,Baja Fresh,1,0
Mexican,Baja Loco Mesquite Grill & Cantina,17,2.55399061
Mexican,Bajio Mexican Grill,41,6.384976526
Mexican,Barrio Cafe,106,16.76056338
Mexican,Barrio Caf?,488,77.7370892
Mexican,Barrio Cantina & Grill,39,6.0657277
Mexican,Big Burrito Mexican Food,2,0.159624413
Mexican,Big Burrito,6,0.798122066
Mexican,Birria Estilo Michoacan,5,0.638497653
Mexican,Birrieria Obregon,7,0.957746479
Mexican,Black Chile Mexican Grill,81,12.76995305
Mexican,Blanco Rapido,3,0.319248826
Mexican,Blanco Tacos And Tequila,127,19.95305165
Mexican,Blanco,23,3.511737089
Mexican,Blue Agave Mexican Cantina,103,16.28169014
Mexican,Blue Burrito Grille,53,8.300469484
Mexican,Burrito Bandito III,6,0.798122066
Mexican,Burrito Bandito,20,3.03286385
Mexican,Cafe Los Dos Y Cantina,123,19.4741784
Mexican,Cafe Rio Mexican Grill,72,11.33333333
Mexican,Canyon Cafe,161,25.5399061
Mexican,Caramba Fresh Mexican Food,48,7.502347418
Mexican,Carlos O'Briens,73,11.49295775
Mexican,Carlos O'Brien's,79,12.45070423
Mexican,Carolina's Mexican Food,292,46.45070423
Mexican,Carolina's,192,30.48826291
Mexican,Carte Blanche Gourmet Taco,9,1.276995305
Mexican,CC'S Mesquite Broiler,20,3.03286385
Mexican,Chayo's Mexican Kitchen,2,0.159624413
Mexican,Chevys Fresh Mex Restaurant,8,1.117370892
Mexican,Chi Chi's Tacos,5,0.638497653
Mexican,Chico's Tacos,56,8.779342723
Mexican,Chili's Grill & Bar,28,4.309859155
Mexican,Chino Bandido,572,91.14553991
Mexican,Chipotle Mexican Grill,161,25.06103286
Mexican,Chipotle,61,9.417840376
Mexican,Chuy's Mesquite Broiler,51,7.342723004
Mexican,Clarendon Kitchen + Bar C4,23,3.511737089
Mexican,Cocina 10,7,0.957746479
Mexican,Comedor Guadalajara,142,22.50704225
Mexican,Corazon Mexican Cocina,5,0.638497653
Mexican,Corona Urban Cantina,9,1.276995305
Mexican,Crescent Ballroom,204,32.40375587
Mexican,Del Taco,77,11.01408451
Mexican,Dick's Hideaway,314,49.96244131
Mexican,Don Jose Mexican Food,51,7.981220657
Mexican,Dora's Kitchen,3,0.319248826
Mexican,El Bravo,114,17.87793427
Mexican,El Chiltepin Mexican Food,5,0.638497653
Mexican,El Conquistador,19,2.873239437
Mexican,El Encanto DOS,63,9.896713615
Mexican,El Goloso Hot Dogs,4,0.478873239
Mexican,El Gran Taco,7,0.957746479
Mexican,El Mana Restaurant,3,0.319248826
Mexican,El Mas Sabroso Mexican Food,7,0.957746479
Mexican,El Mesquite Restaurant,21,3.192488263
Mexican,El Nopalito,34,5.267605634
Mexican,El Norte±o,41,6.384976526
Mexican,El Nuevo Taquito,7,0.798122065
Mexican,El Pacifico Restaurante Y Pescaderia,13,1.915492958
Mexican,El Patron,9,1.276995305
Mexican,El Pollo Loco,52,7.342723005
Mexican,El Portal Restaurant,7,0.957746479
Mexican,El Portal,15,2.234741784
Mexican,El Ranchero Mexican Restaurant,6,0.798122066
Mexican,El Rinconcito Mexican Food,11,1.596244131
Mexican,El Taco Feliz,2,0.159624413
Mexican,El Taco Tote,30,4.629107981
Mexican,Eribertos Mexican Food,39,5.906103286
Mexican,Fajitas A Sizzlin Celebration,107,16.92018779
Mexican,Federicos Mexican Food,38,5.746478873
Mexican,Federico's Mexican Food,48,7.023474179
Mexican,Fiesta Grill,4,0.478873239
Mexican,filabertos,4,0.478873239
Mexican,Filiberto's Mexican Food Restaurant,16,2.394366197
Mexican,Filibertos Mexican Food,14,2.075117371
Mexican,Filiberto's Mexican Food,80,11.81220657
Mexican,Filibertos Mexican Restaurant,6,0.798122066
Mexican,Filiberto's Mexican Rest,4,0.478873239
Mexican,Filibertos,3,0.319248826
Mexican,Filiberto's,29,3.990610329
Mexican,Fresca's Mexican Grill,5,0.638497653
Mexican,Fuego CityScape,74,11.65258216
Mexican,Gadzooks Enchiladas & Soup,176,27.9342723
Mexican,Gallo Blanco,710,113.1737089
Mexican,Garcia's Mexican Restaurant,26,3.990610329
Mexican,Garcia's Mexican Restaurants,33,4.948356807
Mexican,Gil's Taste of Taos,31,4.788732394
Mexican,Gordas Baja Taco,35,5.427230047
Mexican,Gorditas El Tio,16,2.394366197
Mexican,Hacienda Restaurant,5,0.638497653
Mexican,Hal O. Peno's Mexican Cafe,3,0.319248826
Mexican,Humberto's Mexican Food,24,3.511737089
Mexican,International House of Food,17,2.55399061
Mexican,Jesters Mexican Grill,22,3.352112676
Mexican,Jordan's Mexican Food,30,4.469483568
Mexican,Juan's Authentic Mexican Food,76,11.97183099
Mexican,Julio G's Tatum,44,6.863849765
Mexican,Julioberto's,53,7.821596245
Mexican,Julio's Too,28,4.309859155
Mexican,Ketzal Mexican Grill,24,3.51173709
Mexican,Kokopelli Mexican Grill,4,0.478873239
Mexican,La 15 Y Salsas,14,2.075117371
Mexican,La Barquita,42,6.544600939
Mexican,La Canasta Capitolio,28,4.309859155
Mexican,La Canasta Mexican Foods,57,8.938967136
Mexican,La Canasta,16,2.234741784
Mexican,La Carreta De Lily,3,0.319248826
Mexican,La Cocina Economica,9,1.276995305
Mexican,La Frontera,29,4.469483568
Mexican,La Huasteca Mexican Foods,2,0.159624413
Mexican,La Oaxaquena Mexican Restaurant,11,1.596244131
Mexican,La Olmeca Restaurant,7,0.957746479
Mexican,La Paloma Mexican Food,8,1.117370892
Mexican,La Parilla Villa Catering,16,2.394366197
Mexican,La Parrilla Suiza,87,13.56807512
Mexican,La Pi±ata,80,12.61032864
Mexican,La Reina Michoacana,3,0.319248826
Mexican,La Salsita,16,2.394366197
Mexican,La Salsita's Mexican Food,18,2.713615023
Mexican,La Salsitas,5,0.638497653
Mexican,La Santisima Gourmet Taco Shop,419,66.72300469
Mexican,La Sonorense Tortilla Factory,3,0.319248826
Mexican,La Tolteca Mexican Foods,127,20.11267606
Mexican,La Tortotota,11,1.596244131
Mexican,La Tradicion Restaurant,3,0.319248826
Mexican,Las Brazas,3,0.319248826
Mexican,Las Cazuelas Mexican Food Restaurant,8,1.117370892
Mexican,Las Glorias Grill,72,11.33333333
Mexican,Las Glorias Restaurant,17,2.55399061
Mexican,Las Islas Del Capitan,4,0.478873239
Mexican,Lenero Mexican Grill,47,7.342723005
Mexican,Loco Patron,42,6.544600939
Mexican,Los Alamos Mexican Food,20,3.03286385
Mexican,Los Armandos Asadero Y Mariscos,8,1.117370892
Mexican,Los Armandos,14,2.075117371
Mexican,Los Betos Mexican Food,16,2.394366197
Mexican,Los Burritos,20,3.03286385
Mexican,Los Cerritos,12,1.755868545
Mexican,Los Compadres Mexican Food,86,13.56807512
Mexican,Los Compadres,21,3.192488263
Mexican,Los DOS Amigos Restaurant,3,0.319248826
Mexican,Los Dos Molinos,329,52.03755868
Mexican,Los Jarritos Restaurant,12,1.755868545
Mexican,Los Kikos,5,0.638497653
Mexican,Los Portales,4,0.478873239
Mexican,Los Reyes De La Torta,334,52.99530516
Mexican,Los Taquitos,410,65.12676056
Mexican,Losbetos Mexican Food,6,0.798122066
Mexican,Luncha Libre Gourmet Food Truck,38,5.906103286
Mexican,Lydias La Canasta  Mexican Restaurant,10,1.436619718
Mexican,Macayo's Mexican Kitchen,182,28.41314554
Mexican,Mama Lola's Tortillas,2,0.159624413
Mexican,Manuel's Mexican Restaurant & Cantina,3,0.319248826
Mexican,Manuel's Mexican Restaurant,143,22.34741784
Mexican,Mariscos Acapulco,11,1.596244131
Mexican,Mariscos Altata,12,1.755868545
Mexican,Mariscos Chihuahua,9,1.276995305
Mexican,Mariscos Ensenada 7,4,0.478873239
Mexican,Mariscos Ensenada,13,1.755868544
Mexican,Mariscos Playa Hermosa,147,23.30516432
Mexican,Mariscos Vuelve a La Vida,22,3.192488263
Mexican,Matador Restaurant,41,6.384976526
Mexican,Maya Mexican Antonjitos Snacks,3,0.319248826
Mexican,Mercado Y Carniceria Sepulved A,5,0.638497653
Mexican,Mi Amigo's Mexican Grill,67,10.53521127
Mexican,Mi Familia Mexican Food,46,7.183098592
Mexican,Mi Patio Mexican Restaurant,224,35.59624413
Mexican,Mi Pueblo Mexican Food,35,5.427230047
Mexican,Mi Pueblo,52,8.14084507
Mexican,Milagro Grill,116,18.35680751
Mexican,Mim's Burger & Mexican Food,23,3.511737089
Mexican,Modern Margarita,89,14.04694836
Mexican,Mr Leno,13,1.915492958
Mexican,Mr. Triny Sonora Hot Dogs,3,0.319248826
Mexican,Nogales Hot Dogs,7,0.957746479
Mexican,Oasis Raspados,5,0.638497653
Mexican,Oaxaca Restaurante Y Cantina,24,3.671361502
Mexican,Oaxaca Restaurant,4,0.478873239
Mexican,Oaxaca Sky Harbor,14,2.075117371
Mexican,On The Border Mexican Grill & Cantina,57,8.779342723
Mexican,Otro Cafe,141,22.34741784
Mexican,Padre's Modern Mexican Cuisine,126,19.95305164
Mexican,Panaderia Y Tortilleria,5,0.638497653
Mexican,Pancho Taqueria,7,0.957746479
Mexican,Pancho's Mexican Buffet,23,3.511737089
Mexican,Paradise Valley Burger Company,207,32.88262911
Mexican,Pepe El Toro Mexican Food,3,0.319248826
Mexican,Pepe's Taco Villa,39,6.0657277
Mexican,Picosito Mexican Grill,13,1.915492958
Mexican,Pitic Restaurant,25,3.830985915
Mexican,Plaza Bonita,46,7.183098592
Mexican,Poblano,22,3.352112676
Mexican,Polibertos,23,3.511737089
Mexican,Pollo Correteado Restuarant El,3,0.319248826
Mexican,Poncho's Mexican Food,94,14.84507042
Mexican,Popo's Fiesta Del Sol,27,4.150234742
Mexican,Popo's Mexican Food,30,4.629107981
Mexican,Pozoleria Guerrero,3,0.319248826
Mexican,Qdoba Mexican Grill,79,11.97183099
Mexican,Ramiros Mexican Food,5,0.638497653
Mexican,Ramiro's Mexican Food,12,1.596244132
Mexican,Rancho Papa Chulo's,8,1.117370892
Mexican,Regio's Mexican Food,25,3.830985915
Mexican,Revo Burrito,125,19.79342723
Mexican,Richardson's Cuisine of New Mexico,88,13.88732394
Mexican,Richardson's,139,22.02816901
Mexican,Rita's Mexican Food,40,6.225352113
Mexican,Rito's Market & Mexican Take Out,132,20.91079812
Mexican,Roberto's Mexican Food,18,2.713615023
Mexican,Rock-n-Taco,5,0.638497653
Mexican,Rokerij,324,51.55868545
Mexican,Rolando's Mexican Food,23,3.511737089
Mexican,Rolberto's,12,1.755868545
Mexican,Rolibertos Mexican Food,6,0.798122066
Mexican,Romero's Mexican Food,3,0.319248826
Mexican,Rosita's Place,109,17.23943662
Mexican,Rubio's Fresh Mexican Grill,133,20.27230047
Mexican,Sabroso Fresh Mexican Grill,21,3.192488263
Mexican,Salsa Y Mas,5,0.638497653
Mexican,Salsas Y Sombreros,2,0.159624413
Mexican,Salsitas,3,0.319248826
Mexican,San Carlos Bay Seafood Restaurant,27,4.150234742
Mexican,San Felipes Cantina,33,5.107981221
Mexican,San Gabriel Mexican Caf?,11,1.596244131
Mexican,Santanas Mexican Food,3,0.319248826
Mexican,Secreto,93,14.68544601
Mexican,Sierra Bonita Grill,193,30.64788732
Mexican,Sinaloa,14,2.075117371
Mexican,Sir Veza's Taco Garage,33,5.107981221
Mexican,Sonora Mesquite Grill,143,22.66666667
Mexican,Susie's Mexican Cafe & Lounge,7,0.957746479
Mexican,Sylvia's La Canasta Mexican Restaurant,107,16.92018779
Mexican,Sylvia's La Canasta,3,0.319248826
Mexican,Taberna del Tequila,29,4.469483568
Mexican,Taberna Del Tequileria,45,7.023474178
Mexican,Ta'Carbon,17,2.55399061
Mexican,Taco Bell,105,13.24882629
Mexican,Taco Del Mar,8,1.117370892
Mexican,Taco Feliz Mexican Food,8,1.117370892
Mexican,Taco Guild,176,27.9342723
Mexican,Taco Mex,8,1.117370892
Mexican,Tacos Atoyac,281,44.69483568
Mexican,Tacos Chava,5,0.638497653
Mexican,Tacos De Juarez,50,7.821596244
Mexican,Tacos Kissi,18,2.713615023
Mexican,Tacos La Hacienda,13,1.915492958
Mexican,Tacos La Lomita,7,0.798122065
Mexican,Tacos Mexico,3,0.319248826
Mexican,Tacos Sahuayo,27,4.150234742
Mexican,Tacos Sonora Grill,15,2.234741784
Mexican,Taqueria Guadalajara,11,1.596244131
Mexican,Taqueria Los Yaquis,40,6.225352113
Mexican,Taqueria Y Birrieria Jalisco,3,0.319248826
Mexican,Taqueria Yaqui,2,0.159624413
Mexican,Tediberto's,21,3.192488263
Mexican,Tee Pee Mexican Food,190,30.16901408
Mexican,Tee Pee Tap Room,17,2.55399061
Mexican,The Original Burrito Co,110,17.39906103
Mexican,The Original Garcia's,78,12.29107981
Mexican,The Stand,221,35.11737089
Mexican,The Tamale Store,52,8.14084507
Mexican,Top Shelf,34,5.267605634
Mexican,Torta Rica,2,0.159624413
Mexican,Tortas El G?ero,7,0.957746479
Mexican,Tortas El Guero,54,8.460093897
Mexican,Tortas el Rey,25,3.830985915
Mexican,Tortas El Tri,2,0.159624413
Mexican,Tortas Paquime,42,6.225352112
Mexican,Tradiciones,50,7.821596244
Mexican,Two Hippies Beach House - Bell Road,11,1.596244131
Mexican,Two Hippies Beach House Outrageous Tacos and Burritos,145,22.98591549
Mexican,Two Hippies Beach House,12,1.755868545
Mexican,Two Hippies Groovy Beach House,4,0.478873239
Mexican,Uno Mas Mexican Grill,5,0.638497653
Mexican,Valle Luna,232,36.71361502
Mexican,Vaqueros Carne Asada,21,3.192488263
Mexican,Vaquero's Carne Asada,4,0.478873239
Mexican,Verde,49,7.661971831
Mexican,Via Delosantos,133,21.07042254
Mexican,Vitamin T,52,8.14084507
Mexican,Z'Tejas Grill,106,16.76056338
Italian,Affinito's Bistro,4,0.478873239
Italian,Aiello's Salumeria,32,4.948356808
Italian,Aiello's,109,17.23943662
Italian,Alexi's Grill,55,8.61971831
Italian,Amano Pizza Bistro,61,9.577464789
Italian,Amante Pizza and Pasta,17,2.55399061
Italian,Angie & Jimmie's Italian Pizza,43,6.704225352
Italian,Anzios Italian Restaurant,75,11.81220657
Italian,Arrivederci Trattoria,52,8.14084507
Italian,Avanti,73,11.49295775
Italian,Babbo Italian Eatery,114,18.03755869
Italian,Barro's Pizza,114,17.39906103
Italian,Belfiore's Italian Ristorante,54,8.460093897
Italian,Bell' Italia Pizzeria,49,7.661971831
Italian,Brad's Place,15,2.234741784
Italian,Cafe La Bella,5,0.638497653
Italian,Cafe Roma,37,5.586854461
Italian,Cafepino,109,17.23943662
Italian,Caffe Boa Ahwatukee,85,13.4084507
Italian,Caffe Daniel,33,5.107981221
Italian,Calabria Italian Kitchen,32,4.948356808
Italian,Carmella's Italian Kitchen and Bar,8,1.117370892
Italian,Carmine's Little Italy Pizza & Pasta,4,0.478873239
Italian,Cave & Ives,37,5.746478873
Italian,Central Bistro,136,21.54929577
Italian,Centurion,168,26.657277
Italian,Cherryblossom Noodle Cafe,423,67.36150235
Italian,Christos Ristorante,50,7.821596244
Italian,Cibo,882,140.629108
Italian,CiCi's Pizza,18,2.713615023
Italian,Crudo,161,25.5399061
Italian,Crust Pizzeria & Ristorante,60,9.417840376
Italian,Daniel's Italian Cuisine,5,0.638497653
Italian,Different Pointe of View,149,23.62441315
Italian,DiVito's Pizzeria And Italian Restaurant,23,3.511737089
Italian,Dolce Espresso Video Coffee Bar,18,2.713615023
Italian,Famous Ray's Pizza,60,9.417840376
Italian,Fatso's Pizza,57,8.938967136
Italian,Federal Pizza,315,50.12206573
Italian,Fiorella's,28,4.309859155
Italian,Fired Pie,121,18.99530516
Italian,Florencia Pizza Bistro,60,9.417840376
Italian,Focaccia Fiorentina,39,6.0657277
Italian,Frank's Pizza & Wings,18,2.713615023
Italian,Fusilli's,8,1.117370892
Italian,Gasper's Casual Italian Dining and Pizzeria,76,11.97183099
Italian,Giuseppe's On 28th,183,29.05164319
Italian,Gretalian,4,0.478873239
Italian,Harley's Italian Bistro,101,15.96244131
Italian,Humble Pie,253,40.0657277
Italian,Il Posto,63,9.896713615
Italian,Isa's Pizza,33,5.107981221
Italian,Jerry Tucci's Brick Oven Pizzeria,3,0.319248826
Italian,Joey's California Bistro,25,3.830985915
Italian,King Solomon's Pizza,15,2.234741784
Italian,La Fontanella Restaurant,51,7.981220657
Italian,La Grande Orange,119,18.83568075
Italian,La Piazza Locale,61,9.577464789
Italian,La Piccola Cucina,91,14.36619718
Italian,L'amore,44,6.863849765
Italian,Le Ragazze,20,3.03286385
Italian,Luke's of Chicago's,87,13.72769953
Italian,Mamma Mia Brick Oven Pizza & Pasta,155,24.58215962
Italian,Meatballz,30,4.309859155
Italian,Miami Cafe,11,1.596244131
Italian,Michelina's Ristorante Costa Campagnia,24,3.671361502
Italian,My Pie,76,11.97183099
Italian,Neapolitan Wood Fired Italian,26,3.990610329
Italian,Nellos Pizza,74,11.65258216
Italian,Nick's,72,11.33333333
Italian,noca,272,43.25821596
Italian,Nook,104,16.44131455
Italian,North Italia,233,37.03286385
Italian,NYPD Pizza,106,16.76056338
Italian,Olive Garden Italian Restaurant,124,19.15492958
Italian,Oregano's Pizza Bistro,325,51.55868545
Italian,Our Family's Bistro,22,3.352112676
Italian,Palermos Pizza,8,1.117370892
Italian,Pane Bianco,308,49.00469484
Italian,Papa Christo's,16,2.394366197
Italian,Papa John's Pizza,7,0.798122065
Italian,Pasta and Sugo,13,1.915492958
Italian,Pasta Pomodoro,4,0.478873239
Italian,PastaBAR,102,16.12206573
Italian,Pat's Pizza Plus,62,9.737089202
Italian,Peter Piper Pizza,14,2.075117371
Italian,Pezzano's Pizza,36,5.58685446
Italian,Phoenix House Of Pizza And Subs,9,1.276995305
Italian,Picazzo's Organic Italian Kitchen,80,12.45070422
Italian,Pino's Pizza Al Centro,107,16.92018779
Italian,Pizza a Metro,210,33.36150235
Italian,Pizza by Napoli,40,6.225352113
Italian,Pizza Heaven Bistro,118,18.67605634
Italian,Pizza Hut,4,0.478873239
Italian,Pizza Mia,10,1.436619718
Italian,Pizza People Food Truck,30,4.629107981
Italian,Pizzeria Bianco,1243,198.0938967
Italian,Pomo Pizzeria Napoletana,208,33.04225352
Italian,Postino Arcadia,797,127.0610329
Italian,Postino Central,512,81.56807512
Italian,Pronto Pizza,3,0.319248826
Italian,Raffaele's Pizza,47,7.342723005
Italian,Raimondo's,14,2.075117371
Italian,Ray's Pizza,14,2.075117371
Italian,Red Devil,129,20.27230047
Italian,Red Tomato,5,0.638497653
Italian,Rinaldi's Italian Deli,34,5.267605634
Italian,Ristorante Tuscany,17,2.55399061
Italian,Rkidds Pizza & Wings,11,1.596244131
Italian,Roma Garden Ristorante,88,13.88732394
Italian,Romano's Macaroni Grill,100,15.48356808
Italian,Rosati's Pizza,47,7.342723005
Italian,Ruffino Italian Cuisine,50,7.821596244
Italian,Salute Ristorante Italiano,45,7.023474178
Italian,Sam's Chicago Style Pizza & Wings,12,1.755868545
Italian,Sano Brick Pizza,16,2.394366197
Italian,Sardella's Pizza & Wings,41,6.384976526
Italian,Sauce - Pizza & Wine,49,7.661971831
Italian,Sauce Pizza & WIne,60,9.417840376
Italian,Sauce,67,10.53521127
Italian,SOLO Trattoria,100,15.8028169
Italian,Spasso Pizza & Mozzarella Bar,35,5.427230047
Italian,Spinato's Pizza,349,55.23004694
Italian,Spinato's Pizzeria,139,22.02816901
Italian,Streets of New York,174,26.33802817
Italian,Stumpys Pizza,80,12.61032864
Italian,That Italian Place,5,0.638497653
Italian,That's Italiano,7,0.957746479
Italian,The Italian Spoon,4,0.478873239
Italian,The Old Spaghetti Factory,166,26.33802817
Italian,The Parlor,591,94.17840376
Italian,The Skinny Italian Kitchen,35,5.427230047
Italian,The Strand,103,16.28169014
Italian,Times Square Pizzeria,148,23.46478873
Italian,Tomaso's,52,8.14084507
Italian,Tommy V's Osteria and Pizzeria,37,5.746478873
Italian,Tony Pizzeria Italian Restaurant,7,0.957746479
Italian,Tony's Italian Delicatessen,12,1.755868545
Italian,Trattoria Bianco,4,0.478873239
Italian,Tutti Santi by Nina,77,12.1314554
Italian,Uncle Tony's Pizza,19,2.873239437
Italian,Upper Crust Pizza,186,29.53051643
Italian,Va Bene,108,17.07981221
Italian,Villa Italia Ristoranti,8,1.117370892
Italian,Vincent's Famous Pizza & Restaurant,15,2.234741784
Italian,Vincent's,58,9.098591549
Italian,Zella's Pizza And Cheesesteaks,4,0.478873239
Chinese,101 Asian Buffet,34,5.267605634
Chinese,A A Wok,5,0.638497653
Chinese,Abacus Inn Chinese Restaurant,13,1.915492958
Chinese,Abacus Inn,38,5.906103286
Chinese,Asia Lee Chinese Restaurant,28,4.309859155
Chinese,Asian Cafe,24,3.671361502
Chinese,Asian Seafood Buffet,10,1.436619718
Chinese,Autumn Court Chinese Restaurant,77,12.1314554
Chinese,Bamboo China Restaurant,19,2.873239437
Chinese,Bamboo Grille,30,4.629107981
Chinese,Bamboo House,55,8.61971831
Chinese,Beijing Beijing,4,0.478873239
Chinese,Beijing Garden Chinese,20,3.03286385
Chinese,Best Wok Buffet,10,1.436619718
Chinese,Big Heng,10,1.436619718
Chinese,Canton Dragon,10,1.436619718
Chinese,Canton Wong #2,2,0.159624413
Chinese,Canton Wong #8,24,3.671361502
Chinese,Canton Wong,10,1.436619718
Chinese,Chen & Wok,79,12.29107981
Chinese,Chen Wok Express,20,3.03286385
Chinese,China Buffet 2000,3,0.319248826
Chinese,China Buffet,4,0.478873239
Chinese,China Chan Restaurant,33,5.107981221
Chinese,China Chili,198,31.44600939
Chinese,China City Super Buffet,10,1.436619718
Chinese,China Garden Restaurant,13,1.915492958
Chinese,China Harvest Buffet,19,2.873239437
Chinese,China Inn,3,0.319248826
Chinese,China Olive,5,0.638497653
Chinese,China Restaurant,21,3.192488263
Chinese,China Star Super Buffet,10,1.436619718
Chinese,China Super Buffet,3,0.319248826
Chinese,China Village,34,5.267605634
Chinese,Chinese Gourmet Buffet,6,0.798122066
Chinese,Chino Bandido,572,91.14553991
Chinese,Chop Chop Chinese Kitchen,2,0.159624413
Chinese,COFCO Chinese Culture Center,33,5.107981221
Chinese,Crown China Super Buffet,18,2.713615023
Chinese,Dao Kitchen Asian Bistro,32,4.948356808
Chinese,Desert Jade,91,14.36619718
Chinese,Diamond's Chinese Restaurant,46,7.183098592
Chinese,Dragon Bowl,23,3.511737089
Chinese,Dragon Chinese Restaurant,12,1.755868545
Chinese,Dragon Island Chinese Restaurant,15,2.234741784
Chinese,Dragon Palace,72,11.33333333
Chinese,Eastern Buffet,7,0.957746479
Chinese,E-Z Buffet,22,3.352112676
Chinese,Fate 905,78,12.29107981
Chinese,Flamingo Palace,77,12.1314554
Chinese,Flo's Shanghai Cafe,7,0.957746479
Chinese,Garden Express,3,0.319248826
Chinese,George and Sons,51,7.981220657
Chinese,Go Go China,23,3.511737089
Chinese,Golden Bowl Chinese Food,6,0.798122066
Chinese,Golden Buddha,112,17.71830986
Chinese,Golden China,12,1.755868545
Chinese,Golden Coin,11,1.596244131
Chinese,Golden Moon Palace Restaurant,7,0.957746479
Chinese,Golden Nugget Chinese Buffet,3,0.319248826
Chinese,Golden Panda,6,0.798122066
Chinese,Golden Phoenix Chinese Restaurant,43,6.704225352
Chinese,Golden Wok Chinese Restaurant,25,3.830985915
Chinese,Good China Restaurant,23,3.511737089
Chinese,Gourmet House of Hong Kong,64,10.05633803
Chinese,Great China Super Buffet,13,1.915492958
Chinese,Great Dragon Restaurant,11,1.596244131
Chinese,Great Wall Buffet Two Corporation,8,1.117370892
Chinese,Great Wall Buffet,19,2.873239437
Chinese,Great Wall Cuisine,140,22.18779343
Chinese,Great Wok,37,5.746478873
Chinese,Hao Bao,27,4.150234742
Chinese,Happy Food,16,2.234741784
Chinese,Hibachi Grill & Supreme Buffet,57,8.779342723
Chinese,Hong Kong Chinese Cuisine,10,1.436619718
Chinese,Hong Kong Express Chinese Food,3,0.319248826
Chinese,Hong Kong Express,17,2.55399061
Chinese,Hong Kong Gourmet Buffet,82,12.92957746
Chinese,Hong Kong Kitchen 3,13,1.915492958
Chinese,Hong Kong Restaurant,24,3.671361502
Chinese,Hsin Cafe,28,4.309859155
Chinese,Imperial Garden Chinese Buffett,3,0.319248826
Chinese,International House of Food,17,2.55399061
Chinese,Iron Chef,100,15.8028169
Chinese,Jade Fine Chinese Dining,8,1.117370892
Chinese,Jumbo Buffet,24,3.671361502
Chinese,King Wong Chinese Food,46,7.183098592
Chinese,Kwan & Wok Chinese Restaurant,14,2.075117371
Chinese,Lao Ching Hing,38,5.906103286
Chinese,Lim's Chinese Buffet,16,2.394366197
Chinese,Lim's Chinese Restaurant,13,1.915492958
